guid,crc?,<PageAttr>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<TalkAction2>,<>,<TalkAction2Param2>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1677ad10-3697-404b-bc46-ce76d175fdbb,3299737007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101,<COLOR FF0000>#Rejected#</COLOR> QD_QN335101
b5920e6b-6c1e-430c-a932-1902ee843f0a,2710036134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,100,QD_QN335101_nid103_000_00,"<CAM:19>やあ、我が愛弟子よ！　早速だけど、
新たな狩猟技術、<COLS RED>疾替え（はやがえ）</COL>を
伝授するよ！","<CAM:19>Alright, Ace, lesson time! Sorry for
the short notice, but I've got a new
technique for you: <COLS RED>Switch Skill Swap</COL>!","<CAM:19>Allez l'artiste, petite leçon !
J'ai une technique qui pourrait t'intéresser.
Le <COLS RED>Transfert Talent de substitution</COL> !","<CAM:19>OK, è ora di imparare. Scusa l'improvvisata,
ma ho una nuova tecnica da insegnarti:
l'<COLS RED>inversione delle abilità scambio</COL>!","<CAM:19>Okay, Ass, Unterrichtszeit! Sorry für die
Umstände, aber ich habe eine neue Technik
für dich: <COLS RED>Wechselkunst-Tausch</COL>!","<CAM:19>¡Hora de aprender, hacha! Perdón por las
prisas, pero vengo con una nueva técnica:
<COLS RED>el intercambio de habilidades</COL>.","<CAM:19>Ну, ас, пора учиться! Прости, что так
неожиданно, но у меня для тебя новый
прием: <COLS RED>смена заместительного навыка</COL>!","<CAM:19>Dobra, czas na lekcję! Mam nową technikę
dla ciebie: <COLS RED>zmiana przełączanych
umiejętności</COL>!",,,"<CAM:19>Beleza, Craque, hora de aprender!
Meio em cima do laço, mas tenho uma téc-
nica nova pra você: <COLS RED>Mudar Hab. de Troca</COL>!","<CAM:19>오, 나의 애제자여! 그럼 바로
새로운 사냥 기술인 <COLS RED>신속 교체</COL>를
전수하마!","<CAM:19>嗨，我的愛徒啊！
事不宜遲，我立即就將全新的
狩獵技術──<COLS RED>高速更換</COL>傳授給你！","<CAM:19>啊，我的爱徒！废话不多说，
我来教你新的狩猎技术<COLS RED>迅速切换</COL>吧！",,,,,,,,"<CAM:19>حسنًا أيها البارع، حان وقت الدرس!
آسف على المهلة القصيرة، ولكنني جئت
بتقنية جديدة لك: <COLS RED>مبادلة مهارة التبديل</COL>!",,,,,,,,,,,
31ca104f-73c8-4f67-ab65-51d4023d8402,1110981634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,進行から新入れ替え技を排出,,,QD_QN335101_nid103_000_01,"「疾替え」とは、クエストで使用できる
入れ替え技の設定を、
その場で切り替えられる技術なんだ！","This'll let you swap out Switch Skill
loadouts on the spot!","Ça te permet de changer de set
de Talents de substitution
fissa !","Ti permetterà di scambiare all'istante
i set di abilità scambio.","Auf diese Weise kannst du
Wechselkunst-Sets sofort austauschen!","¡Gracias a ella podrás cambiar de set de
habilidades intercambiables sin moverte
del sitio!","Это позволит тебе быстро менять
комплекты заместительных навыков.","W ten sposób możesz szybko zmieniać
zestawy przełączanych umiejętności!",,,"Isso vai te permitir mudar configurações
de Habilidade de Troca na hora!","「신속 교체」란 퀘스트에서 사용하는
교체 기술의 설정을
그 자리에서 전환할 수 있는 기술이다!","所謂「高速更換」，
就是指能在任務中
直接切換交換技設定的技術喔！","使用这种名为“迅速切换”的技术，就能
在任务中随时切换可使用的替换技设置！",,,,,,,,"سوف تتيح لك مبادلة
إمدادات مهارة التبديل على الفور!",,,,,,,,,,,
22f1c47b-a84c-4ba6-a402-27fd0a491a99,4000473974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_02,"状況に合わせて使える技を切り替えられる
から、より柔軟に狩猟ができるぞ！","Swap in skills to fit the bill for any
situation, and roll with the punches
on any hunt!","Transfère des talents adaptés à chaque
situation et inflige de gros dégâts
à la chasse !","Scambia le abilità per adattarti a
qualsiasi situazione e superare tutte
le difficoltà durante ogni caccia.","Tausche Fähigkeiten aus, um den Anforde-
rungen zu entsprechen und mit den Heraus-
forderungen auf der Jagd klarzukommen!","¡Cambia de habilidades para adaptarte a
cualquier situación y abrirte camino a
golpes en cualquier cacería!","Меняй навыки под ситуацию, и любая
охота будет легкой!","Zmieniaj umiejętności odpowiednio
do sytuacji i atakuj na
każdym polowaniu!",,,"Troque habilidades pra encarar qualquer
situação e desviar dos golpes
em qualquer caçada!","상황에 맞춰 사용 가능한 기술을
바꿀 수 있으니 더 유연하게
사냥할 수 있지!","由於能夠根據不同狀況來切換交換技，
因此狩獵方式也會變得更靈活！","因为能针对不同情况来切换能使用的技能，
所以狩猎方式会变得更加灵活！",,,,,,,,"بدل المهارات لتناسب
الوضع في أي حالة، وإمكانية
التعامل مع أي عملية صيد!",,,,,,,,,,,
24395e63-9855-44f7-acdb-451f4e206f0f,2548741021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_03,"さっそく「疾替え」で、入れ替え技の
設定を切り替えてみよう！　最初は俺が
用意した技の設定に切り替わるからね。","Go on, now! Use Switch Skill Swap to swap
between Switch Skill loadouts! For now, try
these loadouts that I've prepped for you.","Vas-y ! Utilise Transfert Talent de sub.
pour choisir tes sets de Talents de sub. !
Essaie ceux que je t'ai préparés.","Forza, usa l'inversione delle abilità
scambio per passare da un set all'altro!
Ho preparato alcuni set per te.","Los! Verwende Wechselkunst-Tausch, um
zwischen Wechselkunst-Sets zu wechseln!
Probier diese Sets hier aus.","¡Venga! Usa el intercambio de habilidades
para alternar entre los diferentes sets.
Por ahora, prueba con los que te doy.","Ну давай, переключись между комплектами
заместительных навыков! Пока используй
те, что я для тебя подготовил.","Dalej! Użyj zmiany przełączanych
umiejętności, aby zamienić zestawy!
Spróbuj zestawów, które mam tu dla ciebie.",,,"Vai lá! Use Mudar Hab. de Troca pra mudar
as configs. de Hab. de Troca! Por ora,
tente essas configurações que preparei.","바로 「신속 교체」로 교체 기술의
설정을 전환해 보자! 처음엔 내가
준비한 기술로 설정이 바뀔 거다.","那就立刻試著用「高速更換」
來切換交換技的設定吧！
一開始請你切換至我準備的交換技設定。","现在就用“迅速切换”切换一下替换技设
置吧！这次就换成我准备的技能设置吧。",,,,,,,,"هيا، الآن! استخدم مبادلة مهارة التبديل
للتبديل بين إمدادات مهارة التبديل!
وحاليًّا، جرب هذا الإمداد الذي جهزته لك.",,,,,,,,,,,
cd64a986-7fa1-4b7b-81cc-391fec2d6952,2428507259,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_04,"抜刀して「疾替え」を試してみよう！
<OPT ZL>＋ <ICON PAD_X>＋<ICON PAD_A>で実行だ！","Draw your weapon, then try a Switch Skill
Swap with <OPT ZL>+<ICON PAD_X>+<ICON PAD_A>!","Dégaine ton arme puis tente un
Transfert Talent de substitution
avec <OPT ZL>+<ICON PAD_X>+<ICON PAD_A> !","Estrai l'arma, poi prova un'inversione
delle abilità scambio con <OPT ZL> + <ICON PAD_X> + <ICON PAD_A>.","Zieh deine Waffe und versuche dann einen
Wechselkunst-Tausch mit <OPT ZL>+<ICON PAD_X>+<ICON PAD_A>!","¡Desenfunda el arma y prueba a realizar
un intercambio de habilidades pulsando
<OPT ZL> + <ICON PAD_X> + <ICON PAD_A>!","Достань оружие и смени заместительный
навык, нажав <OPT ZL>+<ICON PAD_X>+<ICON PAD_A>!","Dobądź broni i użyj zmiany przełączanych
umiejętności, naciskając <OPT ZL> + <ICON PAD_X> + <ICON PAD_A>!",,,"Saque a arma, aí tente
a Habilidade de Troca
Troque com <OPT ZL>+<ICON PAD_X>+<ICON PAD_A>","발도해서 「신속 교체」를 시험해 보자!
<OPT ZL>＋ <ICON PAD_X>＋<ICON PAD_A>로 실행해 봐라!","試著在拔刀後使用「高速更換」吧！
按下<OPT ZL>＋ <ICON PAD_X>＋<ICON PAD_A>就能使出來囉！","先拔刀，然后试试“迅速切换”吧！
用<OPT ZL>+ <ICON PAD_X>+<ICON PAD_A>就行！",,,,,,,,"اسحب سلاحك، ثم جرّب
مبادلة مهارة التبديل باستخدام <OPT ZL>+<ICON PAD_X>+<ICON PAD_A>!",,,,,,,,,,,
3ab4c9f1-ab14-419f-80d3-235e637f0090,2752584988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,100,QD_QN335101_nid103_000_05,"<CAM:19>やあ、我が愛弟子よ！　早速だけど、
新たな狩猟技術、<COLS RED>疾替え（はやがえ）</COL>を
伝授するよ！","<CAM:19>Alright, Ace, lesson time! Sorry for
the short notice, but I've got a new
technique for you: <COLS RED>Switch Skill Swap</COL>!","<CAM:19>Allez l'artiste, petite leçon !
J'ai une technique qui pourrait t'intéresser.
Le <COLS RED>Transfert Talent de substitution</COL> !","<CAM:19>OK, è ora di imparare. Scusa l'improvvisata,
ma ho una nuova tecnica da insegnarti:
l'<COLS RED>inversione delle abilità scambio</COL>!","<CAM:19>Okay, Ass, Unterrichtszeit! Sorry für die
Umstände, aber ich habe eine neue Technik
für dich: <COLS RED>Wechselkunst-Tausch</COL>!","<CAM:19>¡Hora de aprender, hacha! Perdón por las
prisas, pero vengo con una nueva técnica:
<COLS RED>el intercambio de habilidades</COL>.","<CAM:19>Ну, ас, пора учиться! Прости, что так
неожиданно, но у меня для тебя новый
прием: <COLS RED>смена заместительного навыка</COL>!","<CAM:19>Dobra, czas na lekcję! Mam nową technikę
dla ciebie: <COLS RED>zmiana przełączanych
umiejętności</COL>!",,,"<CAM:19>Beleza, Craque, hora de aprender!
Meio em cima do laço, mas tenho uma téc-
nica nova pra você: <COLS RED>Mudar Hab. de Troca</COL>!","<CAM:19>오, 나의 애제자여! 그럼 바로
새로운 사냥 기술인 <COLS RED>신속 교체</COL>를
전수하마!","<CAM:19>嗨，我的愛徒啊！
事不宜遲，我立即就將全新的
狩獵技術──<COLS RED>高速更換</COL>傳授給你！","<CAM:19>啊，我的爱徒！废话不多说，
我来教你新的狩猎技术<COLS RED>迅速切换</COL>吧！",,,,,,,,"<CAM:19>حسنًا أيها البارع، حان وقت الدرس!
آسف على المهلة القصيرة، ولكنني جئت
بتقنية جديدة لك: <COLS RED>مبادلة مهارة التبديل</COL>!",,,,,,,,,,,
58d1aa0c-16a4-4e96-bc45-ba10725214f5,1921256009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,進行から新入れ替え技を排出,,,QD_QN335101_nid103_000_06,"「疾替え」とは、クエストで使用できる
入れ替え技の設定を、
その場で切り替えられる技術なんだ！","This'll let you swap out Switch Skill
loadouts on the spot!","Ça te permet de changer de set
de Talents de substitution
fissa !","Ti permetterà di scambiare all'istante
i set di abilità scambio.","Auf diese Weise kannst du
Wechselkunst-Sets sofort austauschen!","¡Gracias a él podrás cambiar de set de
habilidades intercambiables sin moverte
del sitio!","Это позволит тебе быстро менять
комплекты заместительных навыков.","W ten sposób możesz szybko zmieniać
zestawy przełączanych umiejętności!",,,"Isso vai te permitir mudar configurações
de Habilidade de Troca na hora!","「신속 교체」란 퀘스트에서 사용하는
교체 기술의 설정을
그 자리에서 전환할 수 있는 기술이다!","所謂「高速更換」，
就是指能在任務中
直接切換交換技設定的技術喔！","使用这种名为“迅速切换”的技术，就能
在任务中随时切换可使用的替换技设置！",,,,,,,,"سوف تتيح لك مبادلة
إمدادات مهارة التبديل على الفور!",,,,,,,,,,,
c9512758-4213-417b-8479-d84ac3639289,491794169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_07,"状況に合わせて使える技を切り替えられる
から、より柔軟に狩猟ができるぞ！","Swap in skills to fit the bill for any
situation, and roll with the punches
on any hunt!","Transfère des talents adaptés à chaque
situation et inflige de gros dégâts
à la chasse !","Scambia le abilità per adattarti a
qualsiasi situazione e superare tutte
le difficoltà durante ogni caccia.","Tausche Fähigkeiten aus, um den Anfor-
derungen zu entsprechen und mit den He-
rausforderungen auf der Jagd klarzukommen!","¡Cambia de habilidades para adaptarte a
cualquier situación y abrirte camino a
golpes en cualquier cacería!","Меняй навыки под ситуацию, и любая
охота будет легкой!","Zmieniaj umiejętności odpowiednio
do sytuacji i atakuj na
każdym polowaniu!",,,"Troque habilidades pra encarar qualquer
situação e desviar dos golpes
em qualquer caçada!","상황에 맞춰 사용 가능한 기술을
바꿀 수 있으니 더 유연하게
사냥할 수 있지!","由於能夠根據不同狀況來切換交換技，
因此狩獵方式也會變得更靈活！","因为能针对不同情况来切换能使用的技能，
所以狩猎方式会变得更加灵活！",,,,,,,,"بدل المهارات لتناسب
الوضع في أي حالة، وإمكانية
التعامل مع أي عملية صيد!",,,,,,,,,,,
ca9e549a-f0f0-4993-abe8-a1d90b26f364,910535776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_08,"さっそく「疾替え」で、入れ替え技の
設定を切り替えてみよう！　最初は俺が
用意した技の設定に切り替わるからね。","Go on, now! Use Switch Skill Swap to swap
between Switch Skill loadouts! For now, try
these loadouts that I've prepped for you.","Vas-y ! Utilise Transfert Talent de sub.
pour choisir tes sets de Talents de sub. !
Essaie ceux que je t'ai préparés.","Forza, usa l'inversione delle abilità
scambio per passare da un set all'altro!
Ho preparato alcuni set per te.","Los! Verwende Wechselkunst-Tausch, um
zwischen Wechselkunst-Sets zu wechseln!
Probier diese Sets hier aus.","¡Venga! Usa el intercambio de habilidades
para alternar entre los diferentes sets.
Por ahora, prueba con los que te doy.","Ну давай, переключись между комплектами
заместительных навыков! Пока используй
те, что я для тебя подготовил.","Dalej! Użyj zmiany przełączanych
umiejętności, aby zamienić zestawy!
Spróbuj zestawów, które mam tu dla ciebie.",,,"Vai lá! Use Mudar Hab. de Troca pra mudar
as configs. de Hab. de Troca! Por ora,
tente essas configurações que preparei.","바로 「신속 교체」로 교체 기술의
설정을 전환해 보자! 처음엔 내가
준비한 기술로 설정이 바뀔 거다.","那就立刻試著用「高速更換」
來切換交換技的設定吧！
一開始請你切換至我準備的交換技設定。","现在就用“迅速切换”切换一下替换技设
置吧！这次就换成我准备的技能设置吧。",,,,,,,,"هيا، الآن! استخدم مبادلة مهارة التبديل
للتبديل بين إمدادات مهارة التبديل!
وحاليًّا، جرب هذا الإمداد الذي جهزته لك.",,,,,,,,,,,
bf135172-0bc7-4e95-b2c1-0985d47ffdcc,1832296794,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN335101_nid103_000_09,"抜刀して「疾替え」を試してみよう！
<OPT Gunner_RT>＋ <ICON PAD_X>＋<ICON PAD_A>で実行だ！","Draw your weapon, then try a Switch Skill
Swap with <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>!","Dégaine ton arme puis tente un
Transfert Talent de substitution
avec <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A> !","Estrai l'arma, poi prova un'inversione
delle abilità scambio con <OPT Gunner_RT> + <ICON PAD_X> + <ICON PAD_A>.","Zieh deine Waffe und versuche dann einen
Wechselkunst-Tausch mit <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>!","¡Desenfunda el arma y prueba a realizar
un intercambio de habilidades pulsando
<OPT Gunner_RT> + <ICON PAD_X> + <ICON PAD_A>!","Достань оружие и смени заместительный
навык, нажав <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>!","Dobądź broni i użyj zmiany przełączanych
umiejętności, naciskając <OPT Gunner_RT> + <ICON PAD_X> + <ICON PAD_A>!",,,"Saque a arma, aí tente
a Habilidade de Troca
Troque com <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>","발도해서 「신속 교체」를 시험해 보자!
<OPT Gunner_RT>＋ <ICON PAD_X>＋<ICON PAD_A>로 실행해 봐라!","試著在拔刀後使用「高速更換」吧！
按下<OPT Gunner_RT>＋ <ICON PAD_X>＋<ICON PAD_A>就能使出來囉！","先拔刀，然后试试“迅速切换”吧！
用<OPT Gunner_RT>+ <ICON PAD_X>+<ICON PAD_A>就行！",,,,,,,,"اسحب سلاحك، ثم جرّب
مبادلة مهارة التبديل باستخدام <OPT Gunner_RT>+<ICON PAD_X>+<ICON PAD_A>!",,,,,,,,,,,
